roi_id,s2_id_gee,class,HI,TI
ROI_0026,20190803T052659_20190803T053305_T44SKB,cloudy,0.162721544504166,0.555620831728843
ROI_0026,20200509T052649_20200509T053704_T44SKB,cloud-free,0.081416688859463,0.499981686770523
ROI_0026,20200618T052649_20200618T053712_T44SKB,almost-clear,0.135157942771912,0.863029456764349
ROI_0026,20200728T052649_20200728T053303_T44SKA,low-cloudy,0.079467579722405,0.674069452800178
ROI_0026,20200728T052649_20200728T053303_T44SKB,mid-cloudy,0.078715533018112,0.674778646644709
ROI_0027,20181221T053231_20181221T053356_T44SKH,cloud-free,0.016001066192985,0.499987410231133
ROI_0027,20190204T053029_20190204T053148_T44SKH,mid-cloudy,0.985673189163208,0.552949215751654
ROI_0027,20190503T053651_20190503T054503_T44SKH,low-cloudy,0.063241362571716,0.706011727384251
ROI_0027,20190604T052659_20190604T053306_T44SKH,cloudy,0.633468508720398,0.327803908850335
ROI_0027,20190828T052651_20190828T052911_T44SKH,almost-clear,0.202559545636177,0.59275783944691
ROI_0028,20190228T050739_20190228T051623_T45TUE,cloud-free,0.036052748560906,1
ROI_0028,20190628T050659_20190628T051009_T45TUE,almost-clear,0.060365900397301,0.921270650417691
ROI_0028,20190827T050659_20190827T051015_T45TUE,low-cloudy,0.293102741241455,0.660052311283281
ROI_0028,20191026T050909_20191026T050903_T45TUE,mid-cloudy,0.985288560390472,0.483356237269754
ROI_0028,20200403T050649_20200403T051359_T45TUE,cloudy,0.316065937280655,0.180611647743705
ROI_0029,20190108T045151_20190108T045328_T46TBM,almost-clear,0.0633260384202,0.481878797725994
ROI_0029,20190309T044651_20190309T045537_T46TCM,low-cloudy,0.816470503807068,0.755899835451462
ROI_0029,20190314T044659_20190314T045352_T45TYG,cloud-free,0.034803524613381,1
ROI_0029,20190707T044711_20190707T045327_T45TYG,mid-cloudy,0.004228156991303,0.957911264861828
ROI_0029,20200711T044701_20200711T045536_T46TCM,cloudy,0.913551270961762,0.757786953478302
ROI_0030,20190111T050151_20190111T050150_T46TCR,cloud-free,0.265933394432068,0.499954970356757
ROI_0030,20190712T044709_20190712T044708_T46TDR,almost-clear,0.031162310391665,0.900470354130871
ROI_0030,20190727T044701_20190727T045120_T46TDR,low-cloudy,0.807509899139404,0.654876971256083
ROI_0030,20190829T045701_20190829T045729_T46TCR,mid-cloudy,0.89722865819931,0.639423464164533
ROI_0030,20200412T044701_20200412T045530_T46TDR,cloudy,0.892900288105011,0.301126498361691
ROI_0031,20190330T041551_20190330T041549_T47TNK,cloud-free,0.077404744923115,1
ROI_0031,20190504T041559_20190504T041807_T47TNK,mid-cloudy,0.995303392410278,0.801317328640669
ROI_0031,20190509T041551_20190509T041553_T47TNK,almost-clear,0.006816941779107,0.962395483224853
ROI_0031,20190703T041559_20190703T041557_T47TNK,cloudy,0.43060439825058,0.422632919127173
ROI_0031,20190708T041551_20190708T041554_T47TNK,low-cloudy,0.028076579794288,0.90974861645811
ROI_0033,20181231T035141_20181231T035142_T48TYR,cloudy,0.827790081501007,0.194147690641596
ROI_0033,20190120T035051_20190120T035439_T48TYR,cloud-free,0.081349760293961,1
ROI_0033,20190525T034549_20190525T034543_T48TYR,almost-clear,0.207781463861465,0.682667568735623
ROI_0033,20200531T033541_20200531T033541_T48TYR,mid-cloudy,0.837981998920441,0.569485571547591
ROI_0033,20200630T033541_20200630T033540_T48TYR,low-cloudy,0.080925092101097,0.943016520399865
ROI_0034,20190120T035051_20190120T035439_T48TWK,cloud-free,0.051472667604685,0.499951534560819
ROI_0034,20191111T034959_20191111T034959_T48TXK,low-cloudy,0.977474510669708,0.45513189675268
ROI_0034,20200201T033951_20200201T033950_T48TXK,cloudy,0.799087107181549,0.504298614987483
ROI_0034,20200409T034529_20200409T035533_T48TWK,almost-clear,0.314218670129776,0.324139960197252
ROI_0034,20200526T033539_20200526T034654_T48TXK,mid-cloudy,0.161558195948601,0.933601371780033
ROI_0035,20190530T034541_20190530T035004_T48SVG,low-cloudy,0.31171914935112,0.67751021975305
ROI_0035,20200305T034621_20200305T035050_T48SVG,almost-clear,0.104002252221107,0.760728029627062
ROI_0035,20200419T034529_20200419T035626_T48SVG,mid-cloudy,0.941276609897614,0.687353053638265
ROI_0035,20200618T034539_20200618T035655_T48SVG,cloud-free,0.036632534116507,1
ROI_0035,20200718T034539_20200718T035651_T48SVG,cloudy,0.057892728596926,0.91421258292839
ROI_0036,20190312T040709_20190312T040916_T47TPE,cloud-free,0.03559247776866,1
ROI_0036,20190511T040549_20190511T040624_T47TPE,almost-clear,0.023092793300748,0.477211337419037
ROI_0036,20190605T040551_20190605T041251_T47TPE,cloudy,0.029821569100022,0.424460173957084
ROI_0036,20200301T040701_20200301T040700_T47TPE,mid-cloudy,0.973899245262146,0.512736689694654
ROI_0036,20200311T040551_20200311T041059_T47TPE,low-cloudy,0.98065048456192,0.390568074844878
ROI_0037,20190221T042811_20190221T043725_T46SFG,cloud-free,0.049446064978838,1
ROI_0037,20190621T042711_20190621T043605_T46SFG,low-cloudy,0.113175511360168,0.579734228597595
ROI_0037,20190731T042711_20190731T043732_T46SFG,almost-clear,0.233146548271179,0.607303852738074
ROI_0037,20200302T042659_20200302T042843_T46SFG,mid-cloudy,0.926692724227905,0.590582302189407
ROI_0037,20200327T042701_20200327T042700_T46SFG,cloudy,0.895203769207001,0.697498192254566
ROI_0039,20190214T071009_20190214T071007_T40TDM,cloud-free,0.02569561637938,1
ROI_0039,20190813T070629_20190813T071307_T40TDM,almost-clear,0.051534779369831,0.948417328000836
ROI_0039,20190922T070619_20190922T071745_T40TDM,low-cloudy,0.218022063374519,0.73630282715372
ROI_0039,20191116T071151_20191116T071148_T40TDM,cloudy,0.941508710384369,0.813272298995016
ROI_0039,20200504T070631_20200504T071034_T40TDM,mid-cloudy,0.565572679042816,0.697927023708504
ROI_0041,20181217T064259_20181217T064613_T41TME,cloud-free,0.014398857951164,0.499985502469158
ROI_0041,20190205T064049_20190205T064048_T41TME,cloudy,0.93203216791153,0.627485468808475
ROI_0041,20190215T063949_20190215T064040_T41TME,mid-cloudy,0.146632701158524,0.90584180403023
ROI_0041,20190705T063639_20190705T064419_T41TME,almost-clear,0.035699352622032,0.88786762828734
ROI_0041,20200430T063619_20200430T064251_T41TME,low-cloudy,0.981430888175964,0.362806598584014
ROI_0045,20181213T111441_20181213T112144_T29RML,almost-clear,0.525894820690155,0.704243420773719
ROI_0045,20190117T111409_20190117T112054_T29RML,mid-cloudy,0.749475657939911,0.693304667843878
ROI_0045,20191128T111411_20191128T112152_T29RML,low-cloudy,0.769087493419647,0.853610623782624
ROI_0045,20191208T111441_20191208T112152_T29RML,cloud-free,0.058651257306337,1
ROI_0045,20200327T110651_20200327T112144_T29RML,cloudy,0.022988136857748,0.923571427220148
ROI_0046,20190514T182921_20190514T184336_T11SNA,cloud-free,0.593464195728302,0.490944459899524
ROI_0046,20190524T182921_20190524T183901_T11SNA,almost-clear,0.056517869234085,0.938439192767402
ROI_0046,20190807T182929_20190807T183850_T11SNA,low-cloudy,0.919897198677063,0.596689118487188
ROI_0046,20190916T183009_20190916T183727_T11SNA,mid-cloudy,0.940177738666534,0.494229322855474
ROI_0046,20191011T183311_20191011T183723_T11SNA,cloudy,0.950688779354095,0.586919325604295
ROI_0047,20190530T184921_20190530T185716_T11UMU,mid-cloudy,0.033408720046282,0.498441245116049
ROI_0047,20190902T184919_20190902T185948_T11UMU,almost-clear,0.134427830576897,0.896025170969626
ROI_0047,20200524T184921_20200524T185506_T11UMU,low-cloudy,0.61983448266983,0.843126533678689
ROI_0047,20200616T185921_20200616T190400_T11UMU,cloudy,0.022166540846229,0.378245168175053
ROI_0047,20200728T184919_20200728T184920_T11UNU,cloud-free,0.05567541718483,1
ROI_0048,20190424T143759_20190424T144004_T19KEP,low-cloudy,0.011345234699547,0.951298023012034
ROI_0048,20190524T143759_20190524T144506_T19KEP,cloud-free,0.357059180736542,1
ROI_0048,20200119T143659_20200119T144519_T19KEP,cloudy,0.590514063835144,0.582271611688637
ROI_0048,20200309T143729_20200309T144430_T19KEP,almost-clear,0.651355028152466,0.675652302684137
ROI_0048,20200607T143729_20200607T144648_T19KEP,mid-cloudy,0.19621741771698,0.82584664280853
ROI_0049,20190418T142049_20190418T143006_T19GCK,cloud-free,0.072775281965733,1
ROI_0049,20190925T142039_20190925T143329_T19GCK,almost-clear,0.075652904808521,0.905031080367406
ROI_0049,20190930T142041_20190930T142839_T19GCK,low-cloudy,0.098021306097508,0.951426471191166
ROI_0049,20191224T141729_20191224T142751_T19GCK,mid-cloudy,0.020753931254149,0.953937448961033
ROI_0049,20200128T141651_20200128T142738_T19GCK,cloudy,0.887268602848053,0.625700258936843
ROI_0051,20190220T081951_20190220T083946_T34JCP,cloud-free,0.016956942155957,1
ROI_0051,20191006T082819_20191006T084959_T34JCP,almost-clear,0.009961862117052,0.890786327646888
ROI_0051,20191018T081941_20191018T084056_T34JCP,cloudy,0.962197244167328,0.452526481125
ROI_0051,20191205T083229_20191205T085040_T34JCP,mid-cloudy,0.624937474727631,0.439452627470524
ROI_0051,20200215T082021_20200215T084629_T34JCP,low-cloudy,0.815572619438171,0.631476999387258
ROI_0053,20190619T084601_20190619T091421_T33KWP,cloud-free,0.018340948969126,1
ROI_0053,20191017T084941_20191017T091204_T33KWP,mid-cloudy,0.845380902290344,0.647557396381143
ROI_0053,20191231T085259_20191231T090759_T33KWP,low-cloudy,0.238463684916496,0.691750859628341
ROI_0053,20200229T084809_20200229T091048_T33KWP,cloudy,0.996475517749786,0.536280873248796
ROI_0053,20200320T084639_20200320T090953_T33KWP,almost-clear,0.036627367138863,0.604642722481682
ROI_0054,20181214T090351_20181214T092521_T33KTU,mid-cloudy,0.196420609951019,0.661520094610589
ROI_0054,20191010T085901_20191010T091932_T33KTU,low-cloudy,0.733519613742828,0.843340184918757
ROI_0054,20191114T090129_20191114T092109_T33KTU,cloudy,0.923883259296417,0.497569308504899
ROI_0054,20191209T090351_20191209T091428_T33KTU,almost-clear,0.016702324151993,0.922742670189401
ROI_0054,20200711T085559_20200711T092554_T33KTU,cloud-free,0.01371880248189,1
ROI_0055,20190319T090019_20190319T091418_T32KRF,cloud-free,0.0490712672472,0.499983213077928
ROI_0055,20190428T085559_20190428T091911_T32KRF,almost-clear,0.052652608603239,0.906548003892991
ROI_0055,20191010T085901_20191010T091932_T32KRF,mid-cloudy,0.055453013628721,0.689759729652742
ROI_0055,20191224T090259_20191224T091858_T33KTA,low-cloudy,0.291715115308762,0.615187253793011
ROI_0055,20200207T090131_20200207T091251_T32KRF,cloudy,0.452582776546478,0.341789991376089
ROI_0056,20190303T065809_20190303T070828_T39PTK,cloud-free,0.077435478568077,1
ROI_0056,20190313T065649_20190313T071532_T38PRQ,low-cloudy,0.163152635097504,0.920543890141598
ROI_0056,20190412T065629_20190412T070829_T38PRQ,almost-clear,0.059635106474161,0.906542796507543
ROI_0056,20190611T065629_20190611T071030_T39PTK,cloudy,0.026836005970836,0.895989858525294
ROI_0056,20191123T070211_20191123T070212_T39PTK,mid-cloudy,0.083236873149872,0.695215595304056
ROI_0057,20190211T070019_20190211T070941_T39PVM,cloud-free,0.02893347479403,1
ROI_0057,20191203T070241_20191203T070846_T39PVM,almost-clear,0.834887266159058,0.644024341160169
ROI_0057,20200102T070301_20200102T070259_T39PVM,mid-cloudy,0.096579097211361,0.906992958175369
ROI_0057,20200421T065621_20200421T070940_T39PVM,low-cloudy,0.051099307835102,0.934185509181108
ROI_0057,20200720T065631_20200720T070944_T39PVM,cloudy,0.930684745311737,0.66339143988119
ROI_0058,20191109T072121_20191109T072121_T38PNS,almost-clear,0.061016961932182,0.944547435636616
ROI_0058,20191119T072211_20191119T072207_T38PNS,mid-cloudy,0.160442054271698,0.925496764959394
ROI_0058,20200217T071951_20200217T073412_T38PNS,low-cloudy,0.126049548387527,0.928814739597522
ROI_0058,20200507T071621_20200507T073242_T38PNS,cloudy,0.910519778728485,0.770644392435144
ROI_0058,20200606T071621_20200606T073226_T38PNS,cloud-free,0.065934874117375,1
ROI_0059,20181222T073319_20181222T074542_T37PHP,cloudy,0.097117088735104,0.904364692378774
ROI_0059,20190111T073259_20190111T074419_T37PHP,cloud-free,0.043161675333977,1
ROI_0059,20190126T073201_20190126T073159_T37PHP,almost-clear,0.085962794721127,0.938772942967048
ROI_0059,20190307T072741_20190307T073745_T37PHP,mid-cloudy,0.057662844657898,0.91954391523974
ROI_0059,20191008T072759_20191008T074520_T37PHP,low-cloudy,0.090864583849907,0.959681932215229
ROI_0060,20190104T074319_20190104T075257_T37PFR,cloud-free,0.030841080471873,1
ROI_0060,20190901T073619_20190901T074433_T37PFR,mid-cloudy,0.9557865858078,0.615762866512407
ROI_0060,20200104T074311_20200104T074313_T37PFR,low-cloudy,0.051040846854448,0.922679055812988
ROI_0060,20200304T073801_20200304T074955_T37PFR,almost-clear,0.057762917131186,0.890259608713605
ROI_0060,20200428T073609_20200428T074848_T37PFR,cloudy,0.978536069393158,0.537383285334068
ROI_0061,20190130T013719_20190130T013944_T52KDA,almost-clear,0.021097654476762,0.949781618024501
ROI_0061,20190224T013711_20190224T014309_T52KDA,cloud-free,0.028510399162769,1
ROI_0061,20190316T013711_20190316T013709_T52KDA,mid-cloudy,0.859257400035858,0.57983479464104
ROI_0061,20200110T013711_20200110T013707_T52KDA,low-cloudy,0.023115010932088,0.920384626368901
ROI_0061,20200325T013709_20200325T013923_T52KDA,cloudy,0.008974963799119,0.825946234282257
ROI_0063,20181226T004659_20181226T004702_T53HQE,cloud-free,0.045148313045502,0.499993896186337
ROI_0063,20190714T004719_20190714T005309_T53HQE,cloudy,0.854681551456451,0.451571285620481
ROI_0063,20190729T004711_20190729T004711_T53HQE,mid-cloudy,0.209637507796288,0.668904890196723
ROI_0063,20200110T004659_20200110T004700_T53HQE,low-cloudy,0.775345027446747,0.348892505163852
ROI_0063,20200509T004709_20200509T005258_T53HQE,almost-clear,0.067869991064072,0.901248691432547
ROI_0066,20190131T142759_20190131T143600_T19HDE,almost-clear,0.141767248511314,0.890121037331157
ROI_0066,20191122T142731_20191122T143647_T19HDE,cloudy,0.139518260955811,0.8818589799032
ROI_0066,20191222T142731_20191222T143742_T19HDE,mid-cloudy,0.095191344618797,0.925655530573409
ROI_0066,20200121T142651_20200121T143638_T19HDE,low-cloudy,0.189714148640633,0.916285776257348
ROI_0066,20200724T142739_20200724T143750_T19HDE,cloud-free,0.094467915594578,1
ROI_0068,20190114T143749_20190114T144656_T19KFR,mid-cloudy,0.182878330349922,0.931037169387112
ROI_0068,20190119T143751_20190119T144606_T19KFR,low-cloudy,0.017758900299668,0.928165129857347
ROI_0068,20190414T143759_20190414T144503_T19KFR,cloud-free,0.645815551280975,0.333277601505726
ROI_0068,20190509T143751_20190509T143840_T19KFR,cloudy,0.497773885726929,0.566350684153494
ROI_0068,20200314T143721_20200314T144454_T19KFR,almost-clear,0.037959199398756,0.917975996615769
ROI_0070,20190109T152639_20190109T153112_T17LRJ,mid-cloudy,0.222284495830536,0.663196541629151
ROI_0070,20190218T152639_20190218T153311_T17LRJ,cloudy,0.028625374659896,0.585694404927552
ROI_0070,20190310T152639_20190310T153038_T17LRJ,cloud-free,0.071870364248753,0.428449235701342
ROI_0070,20190419T152649_20190419T153011_T17LRJ,almost-clear,0.793462872505188,0.769236171083995
ROI_0070,20191105T152639_20191105T152856_T17LRJ,low-cloudy,0.85144966840744,0.75427885188006
ROI_0071,20190114T152641_20190114T153109_T17LQL,cloudy,0.113268636167049,0.849759376098893
ROI_0071,20190509T152649_20190509T152958_T17LQL,cloud-free,0.059585846960545,1
ROI_0071,20190708T152649_20190708T152648_T17LQL,almost-clear,0.108861729502678,0.847360647918734
ROI_0071,20200124T152629_20200124T152632_T17LQL,mid-cloudy,0.445044636726379,0.662395628832615
ROI_0071,20200218T152631_20200218T152633_T17LQL,low-cloudy,0.233205109834671,0.636545702319244
ROI_0072,20190116T151709_20190116T152029_T18LVJ,mid-cloudy,0.981399655342102,0.874311580966158
ROI_0072,20190121T151701_20190121T152511_T18LVJ,low-cloudy,0.063804864883423,0.69408721946424
ROI_0072,20190317T151659_20190317T151944_T18LVJ,cloud-free,0.039552390575409,1
ROI_0072,20190715T151709_20190715T151712_T18LVJ,almost-clear,0.070685550570488,0.563180118517049
ROI_0072,20200316T151701_20200316T151812_T18LVJ,cloudy,0.992321312427521,0.785632783442811
ROI_0073,20190118T150721_20190118T151548_T18LXH,cloudy,0.975695133209229,0.552477116072728
ROI_0073,20190202T150719_20190202T150926_T18LXH,mid-cloudy,0.041957471519709,0.65739284870562
ROI_0073,20191124T150721_20191124T151531_T18LXH,almost-clear,0.687435805797577,0.5256832554033
ROI_0073,20200128T150709_20200128T150817_T18LXH,low-cloudy,0.061272125691176,0.692115808049431
ROI_0073,20200512T150731_20200512T150841_T18LXH,cloud-free,0.035558272153139,1
ROI_0075,20181213T144721_20181213T144722_T19KDV,cloud-free,0.027777718380094,1
ROI_0075,20190102T144731_20190102T144725_T19KDV,low-cloudy,0.825688779354095,0.962869544956565
ROI_0075,20190112T144731_20190112T144727_T19KDV,almost-clear,0.049485668540001,0.938597738971374
ROI_0075,20190201T144731_20190201T145629_T19KDV,cloudy,0.514454126358032,0.735563653329872
ROI_0075,20200226T144721_20200226T145600_T19KDV,mid-cloudy,0.08861517906189,0.927277779218001
ROI_0080,20190803T193911_20190803T194902_T09UWV,low-cloudy,0.524239420890808,0.549683401379902
ROI_0080,20190828T193909_20190828T193906_T09UWV,cloud-free,0.049114070832729,1
ROI_0080,20190902T193901_20190902T194535_T09UWV,almost-clear,0.055030312389135,0.8178839478868
ROI_0080,20190927T194159_20190927T194906_T09UWV,cloudy,0.026600318029523,0.554237168417317
ROI_0080,20200728T193911_20200728T194606_T09UWV,mid-cloudy,0.24302351474762,0.884480888086247
ROI_0082,20190526T190921_20190526T191643_T10UDB,cloud-free,0.15991798043251,0.249486166494363
ROI_0082,20190603T191919_20190603T192103_T10UDB,almost-clear,0.187248319387436,0.856991666596373
ROI_0082,20191013T191341_20191013T191802_T10UDB,low-cloudy,0.360871821641922,0.587592288458768
ROI_0082,20200707T191909_20200707T192951_T10UDB,cloudy,0.074101023375988,0.49835347994052
ROI_0082,20200724T190919_20200724T191132_T10UDB,mid-cloudy,0.149810895323753,0.668818870120947
ROI_0084,20190722T180929_20190722T181308_T12TXQ,cloud-free,0.133191004395485,1
ROI_0084,20190821T180919_20190821T181254_T12TWR,low-cloudy,0.037307232618332,0.939422191610406
ROI_0084,20200611T180921_20200611T181204_T12TWR,almost-clear,0.136685907840729,0.89541115414593
ROI_0084,20200701T180921_20200701T181431_T12TWQ,cloudy,0.020218461751938,0.819146646468731
ROI_0084,20200721T180921_20200721T181627_T12TWR,mid-cloudy,0.150127574801445,0.885704766854463
ROI_0086,20190702T180929_20190702T182116_T12TXP,mid-cloudy,0.076856650412083,0.905390074679492
ROI_0086,20190707T180921_20190707T180950_T12TXP,almost-clear,0.049057111144066,0.953709028857026
ROI_0086,20200517T180919_20200517T181919_T12TXP,cloudy,0.918663918972015,0.613078956529197
ROI_0086,20200716T180919_20200716T181939_T12TXP,cloud-free,0.035246409475803,1
ROI_0086,20200721T180921_20200721T181627_T12TXP,low-cloudy,0.023605607450008,0.947694367348139
ROI_0087,20190131T182611_20190131T183119_T11SNU,mid-cloudy,0.985550045967102,0.576830249594085
ROI_0087,20190317T182109_20190317T182716_T11SNU,cloud-free,0.015685513615608,0.499963749866447
